Artist,Song,Purchased,Assessment
Fast As You,Dwight Yoakum,,WISH-LIST
Don't Stop The Dance,Bryan Ferry,,WISH-LIST
The Sweetest Thing,Juice Newton,,WISH-LIST
Listen To What The Man Said,Paul McCartney,,WISH-LIST
This Time,Bryan Adams,,WISH-LIST
Follow You Follow Me,Geneisis,,WISH-LIST
White Wedding,Billy Idol,,WISH-LIST
The Things We Do For Love,10CC,,WISH-LIST
Train In Vain,The Clash,,WISH-LIST
Eye In The Sky,Alan Parsons Project,,WISH-LIST
Sirius,Alan Parsons Project,,WISH-LIST
Heard It In A Love Song,Marshall Tucker,,WISH-LIST
