TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
If I Said You Have A Beautiful Body,Bellamy Brothers,E,3:10,118,8,,P15,,,,,ABC:B:BellamyBrothers:IfISaidYouHaveABeautifulBody,,6,FULL,Country,,true
Ain't No Sunshine,Bill Withers,Em,3:00,78,,,,,,,,ABC:B:BillWithers:AintNoSunshine,,3,FULL,Soul,R&B,true
Lovely Day,Bill Withers,E,3:40,98,,,,,,,,ABC:B:BillWithers:LovelyDay,,5,FULL,Soul,,false
Let Me Down Easy,Billy Currington,G,3:30,125,4,RC,P55,,,G,,ABC:B:BillyCurrington:LetMeDownEasy,Let MeDown,3,FULL,Country,,false
All For Leyna,Billy Joel,Am,3:30,144,,,,,,,,ABC:B:BillyJoel:AllForLeyna,,6,FULL,Rock,,false
Don't Ask Me Why,Billy Joel,Bb,3:50,99,,,,,,,,ABC:B:BillyJoel:DontAskMeWhy,,5,FULL,Pop Rock,,false
Movin' Out,Billy Joel,Dm,,120,,,,,,,,ABC:B:BillyJoel:MovinOut,,7,FULL,Rock,,false
My Life,Billy Joel,D,3:40,131,8,RC,P32,,,C,,ABC:B:BillyJoel:MyLife,MyLife,7,FULL,Rock,,true
My Life,Billy Joel,C,3:40,131,8,RC,P32,,,C,,ABC:B:BillyJoel:MyLife-c,MyLife,7,FULL,Rock,,true
Piano Man,Billy Joel,C,4:40,178,,,,,,A,,ABC:B:BillyJoel:PianoMan,,4,FULL,Rock,Pop,true
Piano Man,Billy Joel,Gb,4:40,178,,,,,,A,,ABC:B:BillyJoel:PianoMan-a,,4,FULL,Rock,Pop,true
Piano Man,Billy Joel,C,4:40,178,,,,,,,,ABC:B:BillyJoel:PianoMan-old,,4,FULL,Rock,Pop,true
Summer Highland Falls,Billy Joel,F,3:22,90,,,,,,,,ABC:B:BillyJoel:SummerHighlandFalls,,3,FULL,Pop,Ballad,false
The Stranger,Billy Joel,C,,120,,,,,,,,ABC:B:BillyJoel:TheStranger,,5,FULL,Rock,Pop,false
Vienna,Billy Joel,Gm,3:00,63,,,,,,,,ABC:B:BillyJoel:Vienna,,3,FULL,Pop,Ballad,false
Vienna - G#m,Billy Joel,G#m,3:00,63,,,,,,,,ABC:B:BillyJoel:Vienna-g#m,,3,FULL,Pop,Ballad,false
You May Be Right,Billy Joel,A,4:00,150,4,RC,N35,,,,,ABC:B:BillyJoel:YouMayBeRight,YouMayBeRigh,7,FULL,Rock,,true
You May Be Right,Billy Joel,G,4:00,150,4,RC,N35,,,G,,ABC:B:BillyJoel:YouMayBeRight-g,YouMayBeRigh,7,FULL,Rock,,true
You're My Home,Billy Joel,F,3:14,93,,,,,,,,ABC:B:BillyJoel:YoureMyHome,,3,FULL,Pop,Country,false
Remedy,The Black Crowes,Bb,4:45,80,,,,,,,,ABC:B:BlackCrowes:Remedy,,7,FULL,Blues Rock,,false
Footloose,Blake Shelton,G,,,8,,,,,,,ABC:B:BlakeShelton:Footloose,,8,FULL,Country,,true
Marie Marie,The Blasters,G,3:10,130,,,,,,,,ABC:B:Blasters:MarieMarie,,7,FULL,Rockabilly,,false
Hey Bartender,Blues Brothers,A,,,,,,,,,,ABC:B:BluesBrothers:HeyBartender,,6,FULL,Blues,,false
I Shall Be Released,Bob Dylan,E,2:30,65,,,,,,,,ABC:B:BobDylan:IShallBeReleased,,3,FULL,Folk,,false
Like A Rolling Stone,Bob Dylan,C,,,,,,,,,,ABC:B:BobDylan:LikeARollingStone,,6,FULL,Folk Rock,,true
Make You Feel My Love,Bob Dylan,C,,70,,,,,,,,ABC:B:BobDylan:MakeYouFeelMyLove,,2,FULL,Ballad,,false
Against the Wind,Bob Seger,G,4:00,109,4,RC,M44,,,F,,ABC:B:BobSeger:AgainstTheWind,AganstWind,4,FULL,Rock,,false
Against the Wind,Bob Seger,F,3:50,109,4,RC,M44,,,F,,ABC:B:BobSeger:AgainstTheWind-f,AganstWind,4,FULL,Rock,,false
Hollywood Nights,Bob Seger,E,4:40,150,8,RC,O25,,,,,ABC:B:BobSeger:HollywoodNights,HllywdNights,7,FULL,Rock,,false
Hollywood Nights,Bob Seger,B,4:40,150,8,RC,O25,,,,,ABC:B:BobSeger:HollywoodNights-b,HllywdNights,7,FULL,Rock,,false
Still the Same,Bob Seger,C,3:28,115,4,RC,P55,,,A,,ABC:B:BobSeger:StillTheSame,Still Same,5,FULL,Rock,,false
Still the Same,Bob Seger,A,3:28,115,4,RC,P55,,,A,,ABC:B:BobSeger:StillTheSame-a,Still Same,5,FULL,Rock,,false
Turn The Page,Bob Seger,Em,,,,,,,,,,ABC:B:BobSeger:TurnThePage,,4,FULL,Rock,,false
Ebony Eyes,Bob Welch,Am,2:51,116,8,RC,,,,Gm,,ABC:B:BobWelch:EbonyEyes,Ebony  Eyes,6,FULL,Pop Rock,,false
Ebony Eyes,Bob Welch,Gm,2:51,116,8,RC,,,,Gm,,ABC:B:BobWelch:EbonyEyes-gm,Ebony  Eyes,6,FULL,Pop Rock,,false
Precious Love,Bob Welch,E,,124,,,,,,,,ABC:B:BobWelch:PreciousLove,,5,FULL,Rock,,false
Sentimental Lady,Bob Welch,E,2:45,72,,,,,,,,ABC:B:BobWelch:SentimentalLady,,3,FULL,Soft Rock,,false
Love Sneakin' Up On You,Bonnie Raitt,D,,108,,,,,,,,ABC:B:BonnieRaitt:LoveSneakinUpOnYou,,6,FULL,Blues Rock,,false
Aubrey,Bread,G,,,,,,,,,,ABC:B:Bread:Aubry,,2,FULL,Soft Rock,Ballad,false
Love and Mercy,Brian Wilson,G,3:10,96,,,N52,,,,,ABC:B:BrianWilson:LoveAndMercy,,2,FULL,Pop,Ballad,false
Cover Me,Bruce Springsteen,Bm,3:00,120,4,RC,P54,,,,,ABC:B:BruceSpringsteen:CoverMe,Cover  Me,8,FULL,Rock,,false
