ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
Huey Lewis and the News,,,./cho/GHI/H/HueyLewis/DoYouBelieveInLove.cho,,,G,,,,,Do You Believe In Love,,
Hall & Oates,,,./cho/GHI/H/HallAndOates/ICantGoForThat.cho,,,Eb,,,,,I Can't Go For That,,
Hall & Oates,,,./cho/GHI/H/HallAndOates/RichGirl.cho,,,F,,,,,Rich Girl,,
Henry Gross,,,./cho/GHI/H/HenryGross/Shannon.cho,,,F,,,,,Shannon,,
The Hooters,,,./cho/GHI/H/Hooters/AndWeDanced.cho,,,D,,,,,And We Danced,,
Robert Palmer,,,./cho/PQR/R/RobertPalmer/EveryKindaPeople.cho,,,F,,,,,Every Kinda People,,
Robert Palmer,34,,./cho/PQR/R/RobertPalmer/BadCaseOfLovinYou.cho,8,2:50,E,,,146,,Bad Case Of Lovin' You,,
Raspberries,,,./cho/PQR/R/Raspberries/GoAllTheWay.cho,,,A,,,120,,Go All The Way,,
Romantics,19,,./cho/PQR/R/Romantics/WhatILikeAboutYou.cho,8,2:20,A,P44,,,,What I Like About You,,
Robbie Dupree,,,./cho/PQR/R/RobbieDupree/StealAway_inA.cho,,,A,,,,,Steal Away,,
Robbie Dupree,,,./cho/PQR/R/RobbieDupree/StealAway.cho,,,F,,,,,Steal Away,,
Rex Smith,,,./cho/PQR/R/RexSmith/YouTakeMyBreathAway.cho,,,Bb,,,96,,You Take My Breath Away,,
Robert Plant & Alison Krauss,,,./cho/PQR/R/RobertPlant/CantLetGo.cho,,2:50,E,,,176,,Can't Let Go,,
Randy Travis,,,./cho/PQR/R/RandyTravis/WhereThatCameFrom.cho,,3:11,C,,,,,Where That Came From,,
Mike Reid/Alabama,,,./cho/PQR/R/RandyTravis/ForeversAsFarAsIllGo.cho,,,Eb,,,,,Forever's As Far As I'll Go,,
Randy Travis,,,./cho/PQR/R/RandyTravis/ThisIsMe.cho,,,Eb,,,,,This Is Me,,
Randy Travis,,,./cho/PQR/R/RandyTravis/LookHeartsNoHands.cho,,,C,,,,,Look Heart No Hands,,
Roberta Flack,,,./cho/PQR/R/RobertaFlack/KillingMeSoftly-A.cho,,,A,,,122,,Killing Me Softly With His Song,,
Ronnie Milsap,,,./cho/PQR/R/RonnieMilsap/TheresNoGettingOverMe.cho,4,4:00,E,??,,100,,There's No Getting Over Me,,
Ronnie Milsap,,,./cho/PQR/R/RonnieMilsap/TheresNoGettingOverMe-c.cho,4,4:00,C,??,,100,,There's No Getting Over Me,,
Rolling Stones,,,./cho/PQR/R/RollingStones/MissYou.cho,,,Am,,,,,Miss You,,
Rolling Stones,,,./cho/PQR/R/RollingStones/UnderMyThumb.cho,8 (with pickup)),3:40,A,,,127,,Under My Thumb,,
Rocky Burnette,,,./cho/PQR/R/RockyBurnette/TiredOfToeinTheLine.cho,8,3:30,G,O14,,,,Tired Of Toein' The Line,,
Rocky Burnette,,,./cho/PQR/R/RockyBurnette/TiredOfToeinTheLine-e.cho,,3:30,E,,,,,Tired Of Toein' The Line,,
Restless Heart,,,./cho/PQR/R/RestlessHeart/WhenSheCries.cho,,,A,,,113,,When She Cries,,
Redbone,,,./cho/PQR/R/Redbone/ComeAndGetYourLove.cho,,,Bm,,,,,Come And Get Your Love,,
REO Speedwagon,,,./cho/PQR/R/ReoSpeedwagon/TimeforMeToFly.cho,,,D,,,84,,Time For Me To Fly,,
REO Speedwagon,,,./cho/PQR/R/ReoSpeedwagon/RollWithTheChanges.cho,,,C,,,,,Roll With The Changes,,
REO Speedwagon,,,./cho/PQR/R/ReoSpeedwagon/TimeforMeToFly-c.cho,,,C,,,84,,Time For Me To Fly,,
Phil Collins,,,./cho/PQR/P/PhilCollins/DoYouRemember.cho,,,F,,,,,Do You Remember ?,,
Psychelic Furs,,,./cho/PQR/P/PsychedelicFurs/LoveMyWay.cho,,,C,,,129,,Love My Way,,
Psychelic Furs,,,./cho/PQR/P/PsychedelicFurs/GhostInYou.cho,,,Bb,,,123,,Ghost In You,,
Paul Simon,,,./cho/PQR/P/PaulSimon/Kodachrome.cho,,,D,,,136,,Kodachrome,,
Peter Frampton,,,./cho/PQR/P/PeterFrampton/ImInYou.cho,,4:00,C,,C,99,,I'm In You,,
Peter Frampton,,,./cho/PQR/P/PeterFrampton/ShowMeTheWay.cho,,3:45,D,,,137,,Show Me The Way,,
Peter Frampton,,,./cho/PQR/P/PeterFrampton/BabyILoveYourWay.cho,,,G,,,78,,Baby I Love Your Way,,
Pete Townsend,22,,./cho/PQR/P/PeteTownsend/LetMyLoveOpenTheDoor.cho,8,2:30,A,M51,A,165,,Let My Love Open The Door,U35,
Perfect Stranger,,,./cho/PQR/P/PerfectStranger/YouHaveTheRightToRemainSilent.cho,,,G,,,,,You Have The Right To Remain Silent,,
Pat Green,,,./cho/PQR/P/PatGreen/Whiskey.cho,8,4:00,D,N35,,167,,Whiskey,,
Pat Green,,,./cho/PQR/P/PatGreen/CarryOn.cho,,,D,,,,,Carry On,,
Pat Green,,,./cho/PQR/P/PatGreen/Crazy.cho,,,,,,,,Crazy,,
Pure Prairie League,,,./cho/PQR/P/PurePrairieLeague/LetMeLoveYouTonight.cho,,,Bb,,,,,Let Me Love You Tonight,,
Paul McCartney,,,./cho/PQR/P/PaulMcCartney/SillyLoveSongs.cho,,,C,,,,,Silly Love Songs,,
Post Malone ( w/ Morgan Wallen),,,./cho/PQR/P/PostMalone/IHadSomeHelp.cho,,,,,,,,I Had Some Help,,
Fleetwood Mac,,,./cho/DEF/F/FleetwoodMac/Landslide.cho,,,Eb,,Eb,,,Landslide,,
Fleetwood Mac,,,./cho/DEF/F/FleetwoodMac/Landslide-c.cho,,,C,,,,,Landslide,,
Fleetwood Mac,,,./cho/DEF/F/FleetwoodMac/Landslide-lyrics.cho,,,Eb,,Eb,,,Landslide,,
